1 Title and remarks (4 lines)
  EXAMPLE FOR MULTIPLE SHEAR JOINT.
  Fastened double shear joint.
  Adherent 1: Ti. Adherent 2: CFC. Adherent 3: Ti.
  Thermal load: 70°C. Applied load 153000 N.
2 Geometry: N / i - X(i)
  16
     1     0.00
     2    30.00
     3    60.00
     4    60.00
     5    75.00
     6    90.00
     7    90.00
     8   105.00
     9   120.00
    10   120.00
    11   135.00
    12   150.00
    13   150.00
    14   180.00
    15   180.00
    16   210.00
3 Fasteners data: NG / i  Nr(i)  Ind(i)  Dx(i,k)  D(i,j)  Er(i,j)  Fsu(i,j)
  3
      1   2   5    0.00   7.90  115000.0   33112.00
                   0.00   7.90  115000.0   33112.00
      2   2   8    0.00   7.90  115000.0   33112.00
                   0.00   7.90  115000.0   33112.00
      3   2  11    0.00   7.90  115000.0   33112.00
                   0.00   7.90  115000.0   33112.00
4 Number and type of elements: Nel / Type(i)
  3
  1  2  1
5 Data for Element 1: i  W(i)  t(i)  E(i)  G(i)  µ1(i)  µ2(i)  Ct(i)  Ftu(i)  [Effec Fbru(i)]
     1  48.00  0.25  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     2  48.00  1.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     3  48.00  1.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     4  48.00  2.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     5  48.00  2.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00  1.000  1420.00
     6  48.00  2.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     7  48.00  2.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
     8  48.00  2.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00  1.000  1420.00
     9  48.00  2.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    10  48.00  3.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    11  48.00  3.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00  1.000  1420.00
    12  48.00  3.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    13  48.00  3.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    14  48.00  3.50  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    15  48.00  4.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
    16  48.00  4.00  115000.0  44230.0  0.30  0.30   8.0000E-06   930.00
