1 Title and remarks (4 lines)
  Program MultiJoint
  Validation example with four panels fastened between them. Upper one split in
  Material: Aluminium 2024 T3.
  Upper panel loaded at both ends.
2 Geometry: N / i - X(i)
  32
     1     0.00
     2    10.00
     3    10.00
     4    20.00
     5    30.00
     6    30.00
     7    40.00
     8    50.00
     9    50.00
    10    60.00
    11    69.00
    12    69.00
    13    71.00
    14    71.00
    15    80.00
    16   100.00
    17   150.00
    18   170.00
    19   179.00
    20   179.00
    21   181.00
    22   181.00
    23   190.00
    24   200.00
    25   200.00
    26   210.00
    27   220.00
    28   220.00
    29   230.00
    30   240.00
    31   240.00
    32   250.00
3 Fasteners data: NG / i  Nr(i)  Ind(i)  Dx(i,k)  D(i,j)  Er(i,j)  Fsu(i,j)
  10
       1   1   4    0.00   4.00  110000.0   33000.00
       2   1   7    0.00   4.00  110000.0   33000.00
       3   1  10    0.00   4.00  110000.0   33000.00
       4   1  15    0.00   4.00  110000.0   33000.00
       5   1  16    0.00   4.00  110000.0   33000.00
       6   1  17    0.00   4.00  110000.0   33000.00
       7   1  18    0.00   4.00  110000.0   33000.00
       8   1  23    0.00   4.00  110000.0   33000.00
       9   1  26    0.00   4.00  110000.0   33000.00
      10   1  29    0.00   4.00  110000.0   33000.00
4 Number and type of elements: Nel / Type(i)
  4
  1  1  1  1
5 Data for Element 1: i  W(i)  t(i)  E(i)  G(i)  µ1(i)  µ2(i)  Ct(i)  Ftu(i)  [Effec Fbru(i)]
     1  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     2  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     3  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     4  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
     5  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     6  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     7  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
     8  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
     9  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    10  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    11  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    12  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    13  50.00  0.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    14  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00
    15  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
    16  50.00  2.00  72400.0  27600.0  0.33  0.33   2.2500E-05   450.00  1.000   900.00
