2  Section defined by contour lines: N / X  Y  R
   10   0.0   0.0   2.2361
        2.0   0.0   0.0
        1.5   1.0   0.0
        0.5   1.0   0.0
        0.5   3.0   0.0
        1.5   3.0   0.0
        1.5   1.0   0.0
        2.0   0.0   2.2361
        2.0   4.0   2.2361
        0.0   4.0   2.2361
3  Material properties: Et, Ec, Fty, Fcy, Ftu, e(%)
   71705.0  73774.0  434.37  434.37  510.21  8.0
4  Load cases: Fz  Mx  My [Xo Yo]
   9  -1000.0   1000.0      0.0
          0.0   1000.0      0.0
       1000.0   1000.0      0.0
      -1000.0      0.0   1000.0
          0.0      0.0   1000.0
       1000.0      0.0   1000.0
      -1000.0   1000.0   1000.0
          0.0   1000.0   1000.0
       1000.0   1000.0   1000.0
5  Allowable microstrains: Eps-t  Eps-c
   87115.41   86915.85
6  Units: [Force] / [Length]
   N
   mm
