FORCE       4009  400704          1000.0   0.000   0.000  -4.784
FORCE       4009  400703          1000.0   0.000   0.000  -4.784
FORCE       4009  400717          1000.0   0.000   0.000  -4.784
FORCE       4009  400702          1000.0   0.000   0.000  -4.784
FORCE       4009  400705          1000.0   0.000   0.000  -4.784
FORCE       4009  400707          1000.0   0.000   0.000  -4.784
FORCE       4009  400708          1000.0   0.000   0.000  -4.784
FORCE       4009  400706          1000.0   0.000   0.000  -4.784
FORCE       4009  400709          1000.0   0.000   0.000  -4.784
FORCE       4009  400712          1000.0   0.000   0.000  -4.784
FORCE       4009  400710          1000.0   0.000   0.000  -4.784
FORCE       4009  400711          1000.0   0.000   0.000  -4.784
FORCE       4009  400716          1000.0   0.000   0.000  -4.784
FORCE       4009  400713          1000.0   0.000   0.000  -4.784
FORCE       4009  400715          1000.0   0.000   0.000  -4.784
FORCE       4009  400714          1000.0   0.000   0.000  -4.784
FORCE       4009  415001          1000.0 -56.978   0.000   0.000
FORCE       4009  415001          1000.0   0.000  -3.273   0.000
FORCE       4009  415001          1000.0   0.000   0.000-147.656
FORCE       4009  415000          1000.0 -56.978   0.000   0.000
FORCE       4009  415000          1000.0   0.000  -1.793   0.000
FORCE       4009  415000          1000.0   0.000   0.000-141.362
FORCE       4009  425035          1000.0  11.954   0.000   0.000
FORCE       4009  425035          1000.0   0.000   0.000   0.221
FORCE       4009  425130          1000.0   0.000  -5.014   0.000
FORCE       4009  425120          1000.0   0.000  -6.128   0.000
FORCE       4009  400401          1000.0   0.000   0.000  -5.473
FORCE       4009  400402          1000.0   0.000   0.000  -5.473
FORCE       4009  400403          1000.0   0.000   0.000  -5.473
FORCE       4009  400404          1000.0   0.000   0.000  -5.473
FORCE       4009  400406          1000.0   0.000   0.000  -5.473
FORCE       4009  400407          1000.0   0.000   0.000  -5.473
FORCE       4009  400405          1000.0   0.000   0.000  -5.473
FORCE       4009  400408          1000.0   0.000   0.000  -5.473
FORCE       4009  400410          1000.0   0.000   0.000  -5.473
FORCE       4009  400409          1000.0   0.000   0.000  -5.473
FORCE       4009  400411          1000.0   0.000   0.000  -5.473
FORCE       4009  400412          1000.0   0.000   0.000  -5.473
FORCE       4009  400414          1000.0   0.000   0.000  -5.473
FORCE       4009  400415          1000.0   0.000   0.000  -5.473
FORCE       4009  400413          1000.0   0.000   0.000  -5.473
FORCE       4009  400416          1000.0   0.000   0.000  -5.473
FORCE       4009  450001          1000.0   0.000 -10.602   0.000
FORCE       4009  450001          1000.0   0.000   0.000  -9.546
FORCE       4009  450000          1000.0   0.000  10.602   0.000
FORCE       4009  450000          1000.0   0.000   0.000  -9.546
FORCE       4013  400717          1000.0   0.000   0.000  -3.583
FORCE       4013  400704          1000.0   0.000   0.000  -3.583
FORCE       4013  400703          1000.0   0.000   0.000  -3.583
FORCE       4013  400702          1000.0   0.000   0.000  -3.583
FORCE       4013  400705          1000.0   0.000   0.000  -3.583
FORCE       4013  400707          1000.0   0.000   0.000  -3.583
FORCE       4013  400708          1000.0   0.000   0.000  -3.583
FORCE       4013  400706          1000.0   0.000   0.000  -3.583
FORCE       4013  400710          1000.0   0.000   0.000  -3.583
FORCE       4013  400712          1000.0   0.000   0.000  -3.583
FORCE       4013  400711          1000.0   0.000   0.000  -3.583
FORCE       4013  400709          1000.0   0.000   0.000  -3.583
FORCE       4013  400714          1000.0   0.000   0.000  -3.583
FORCE       4013  400713          1000.0   0.000   0.000  -3.583
FORCE       4013  400715          1000.0   0.000   0.000  -3.583
FORCE       4013  400716          1000.0   0.000   0.000  -3.583
FORCE       4013  415000          1000.0 -59.441   0.000   0.000
FORCE       4013  415000          1000.0   0.000  32.546   0.000
FORCE       4013  415000          1000.0   0.000   0.000 -29.139
FORCE       4013  415001          1000.0 -59.441   0.000   0.000
FORCE       4013  415001          1000.0   0.000  18.946   0.000
FORCE       4013  415001          1000.0   0.000   0.000 -66.544
FORCE       4013  425035          1000.0  11.444   0.000   0.000
FORCE       4013  425035          1000.0   0.000   0.000   0.211
FORCE       4013  425130          1000.0   0.000 -13.341   0.000
FORCE       4013  425120          1000.0   0.000 -16.305   0.000
FORCE       4013  400402          1000.0   0.000   0.000  -1.939
FORCE       4013  400401          1000.0   0.000   0.000  -1.939
FORCE       4013  400403          1000.0   0.000   0.000  -1.939
FORCE       4013  400404          1000.0   0.000   0.000  -1.939
FORCE       4013  400405          1000.0   0.000   0.000  -1.939
FORCE       4013  400408          1000.0   0.000   0.000  -1.939
FORCE       4013  400407          1000.0   0.000   0.000  -1.939
FORCE       4013  400406          1000.0   0.000   0.000  -1.939
FORCE       4013  400411          1000.0   0.000   0.000  -1.939
FORCE       4013  400409          1000.0   0.000   0.000  -1.939
FORCE       4013  400410          1000.0   0.000   0.000  -1.939
FORCE       4013  400412          1000.0   0.000   0.000  -1.939
FORCE       4013  400414          1000.0   0.000   0.000  -1.939
FORCE       4013  400416          1000.0   0.000   0.000  -1.939
FORCE       4013  400415          1000.0   0.000   0.000  -1.939
